cosmos,ATOM
iris-network,IRIS
terra-luna,LUNA
terrausd,UST
terra-krw,KRT
band-protocol,BAND
crypto-com-chain,CRO
akash-network,AKT
kava,KAVA
okexchain,OKT
certik,CTK
osmosis,OSMO
persistence,XPRT
regen,REGEN
secret,SCRT
sentinel,DVPN
ion,ION
sifchain,ROWAN
starname,IOV
bitsong,BTSG
e-money,NGM
e-money-eur,EEUR
likecoin,LIKE
juno-network,JUNO
stargaze-protocol,STGZ
vidulum,VDL
ki,XKI
injective-protocol,INJ
